promedio_tiempo_interacciones,papa,cursos_inscritos_periodo,num_cursos_plataforma,papa-1,delta_papa,modalidad_colegio,calendario,jornada,tipo_colegio,categoria_colegio,ciudad,Clase
93.74333333,3.9,6,1,3.9,0,2,0,4,1,2,1,B
154.5833333,3,6,2,3,0,2,0,2,1,2,17,B
107.8583333,3.4,1,1,3.4,0,0,0,2,0,0,1,B
161.4,3.6,4,1,3.6,0,2,0,4,1,2,1,B
3.2,3.2,3,1,3.3,-0.1,0,0,0,0,0,1,B
0.4,3.6,4,1,3.5,0.1,2,0,2,1,2,18,B
278.4333333,3.5,1,1,3.6,-0.1,3,0,5,0,5,1,B
66.35,3.7,1,1,3.7,0,0,0,2,0,0,1,B
78.64791667,3.1,6,2,3.1,0,2,0,4,1,2,9,B
234.575,3.2,5,1,3.1,0.1,2,0,4,1,2,9,B
248.7833333,3.4,5,1,3.4,0,2,0,4,1,2,1,B
211.9069444,3.5,4,1,3.5,0,2,0,2,1,2,1,B
12.63333333,2.9,5,1,3.1,-0.2,2,0,0,1,2,35,R
3.313095238,4,2,9,4,0,2,0,2,1,2,1,E
81.90362319,3.6,4,4,3.6,0,3,0,5,0,5,1,B
2.140909091,3.6,4,4,3.8,-0.2,2,0,2,1,2,1,B
152.5416667,4,3,1,3.9,0.1,2,0,2,1,2,1,E
181.13,3.3,2,1,3.3,0,2,0,2,1,2,1,B
169.1208333,3.2,3,1,3,0.2,2,0,4,1,2,1,B
104.428125,3.6,5,5,3.6,0,0,0,2,0,0,1,B
167.5777778,3.9,4,1,3.9,0,2,0,2,1,2,1,B
177.42,3.9,1,1,3.9,0,2,0,2,1,2,1,B
82.28888889,3.1,0,2,3.1,0,2,0,2,1,2,1,B
1.638888889,3.2,4,1,3.2,0,2,0,2,1,2,1,B
62.82857143,3.6,4,1,3.5,0.1,2,0,2,1,2,10,B
9.795,3.2,4,2,3.2,0,0,0,2,0,0,1,B
9.016666667,3.2,4,1,3.2,0,0,0,2,0,0,1,B
159.5541667,4.3,3,1,4.3,0,0,0,2,0,0,1,E
47.41666667,3.9,3,1,3.8,0.1,2,0,0,1,2,16,B
0.066666667,3.7,4,1,3.7,0,2,0,2,1,2,1,B
21.69242424,3.6,4,1,3.5,0.1,2,0,0,1,2,36,B
1.941666667,3.7,6,1,3.5,0.2,2,0,0,1,2,36,B
140.4333333,3.4,4,1,3.4,0,2,0,2,1,2,1,B
228.7833333,3.4,4,1,3.4,0,2,0,2,1,2,1,B
11.67222222,3.2,4,1,3.3,-0.1,0,0,0,0,0,1,B
